unique_p_label,unique_t_case_local,t_template
{IDENTITY_P},யாரோ அவ்வளவுக்கு {IDENTITY_P} அவர்களை குத்தி விடணும் போல இருக்கு.,யாரோ அவ்வளவுக்கு () அவர்களை குத்தி விடணும் போல இருக்கு.
{IDENTITY_P},அந்த மாதிரி {IDENTITY_P} தூக்குல போடணும் டா.,அந்த மாதிரி () தூக்குல போடணும் டா.
{IDENTITY_P},{IDENTITY_P}ஐயும் நிரந்தரமா தொலைக்கனும் மச்சி!,()ஐயும் நிரந்தரமா தொலைக்கனும் மச்சி!
{IDENTITY_S},{IDENTITY_S} அவ்வளோ லுசுத்தனமா இருக்குறது சகஜம்தான்,() அவ்வளோ லுசுத்தனமா இருக்குறது சகஜம்தான்
{IDENTITY_P},அந்த {IDENTITY_P} தீயில எரிக்கணும் டா.,அந்த () தீயில எரிக்கணும் டா.
{IDENTITY_P},"{IDENTITY_P} எப்போதும் மிகவும் அருவருப்பாக நடத்துகிறார்கள், அதை அவர்கள் தடுக்க முடியவில்லை.","() எப்போதும் மிகவும் அருவருப்பாக நடத்துகிறார்கள், அதை அவர்கள் தடுக்க முடியவில்லை."
{IDENTITY_A},{IDENTITY_A} வாழ்க்கை ஒரு குப்பைக்கும் மதிப்பே இல்லை.,() வாழ்க்கை ஒரு குப்பைக்கும் மதிப்பே இல்லை.
{IDENTITY_P},உன்ன மாரி {IDENTITY_P} எல்லா கஸ்மாலம் தான்,உன்ன மாரி () எல்லா கஸ்மாலம் தான்
{IDENTITY_P},நீங்கள் {IDENTITY_P} எல்லாரும் நேர்மையல்லாதவங்க.,நீங்கள் () எல்லாரும் நேர்மையல்லாதவங்க.
{IDENTITY_P},{IDENTITY_P} போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,() போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.
{IDENTITY_A},உங்கள் {IDENTITY_A} வாழ்க்கை என்னவோ பயனற்றதுதான்.,உங்கள் () வாழ்க்கை என்னவோ பயனற்றதுதான்.
{IDENTITY_P},இவ்வளவு அழுக்கமானவர் இந்த {IDENTITY_P} தவிர வேறு யாரும் இல்லை.,இவ்வளவு அழுக்கமானவர் இந்த () தவிர வேறு யாரும் இல்லை.
{IDENTITY_S},{IDENTITY_S} ஓவொருவருடைய வாழ்க்கையும் முடிக்கணும்னு ஆசைப்படுறேன் டா.,() ஓவொருவருடைய வாழ்க்கையும் முடிக்கணும்னு ஆசைப்படுறேன் டா.
{IDENTITY_P},{IDENTITY_P} கெட்ட அழுக்குடா.,() கெட்ட அழுக்குடா.
{IDENTITY_P},நான் {IDENTITY_P} எல்லாரையும் கொல்ல ஆசைபடுகிறேன் டா.,நான் () எல்லாரையும் கொல்ல ஆசைபடுகிறேன் டா.
{IDENTITY_S},{IDENTITY_S} விட எந்த பூச்சியின் வாழ்க்கையே மிகுந்தது.,() விட எந்த பூச்சியின் வாழ்க்கையே மிகுந்தது.
{IDENTITY_P},நான் {IDENTITY_P} ஐ வெறுக்கிறேன்.,நான் () ஐ வெறுக்கிறேன்.
{IDENTITY_P},இந்த பூமியில அடிமுட்டாளுங்க {IDENTITY_P}தானு சந்தேகமே இல்ல,இந்த பூமியில அடிமுட்டாளுங்க ()தானு சந்தேகமே இல்ல
{SLUR_S},என்னால இந்த {SLUR_S}ஐ நம்ப முடியல,என்னால இந்த ()ஐ நம்ப முடியல
