unique_p_label,unique_t_case_local,t_template
{IDENT_P},操他妈的{IDENT_P}。,操他妈的()。
{IDENT_P},这些{IDENT_P}到底他妈怎么回事？,这些()到底他妈怎么回事？
{IDENT_P},{IDENT_P}都吃屎。,()都吃屎。
{IDENT_S},狗逼是{IDENT_S}的天性。,狗逼是()的天性。
{IDENT_P},{IDENT_P}都是彻头彻尾的王八蛋。,()都是彻头彻尾的王八蛋。
{IDENT_P},从本质上讲，{IDENT_P}就是狗屎。,从本质上讲，()就是狗屎。
{IDENT_S},{IDENT_S}提出的想法肯定是瞎扯蛋。,()提出的想法肯定是瞎扯蛋。
{IDENT_P},{IDENT_P}都是傻屌。,()都是傻屌。
{IDENT_S},{IDENT_S}这么傻逼不意外。,()这么傻逼不意外。
{IDENT_P},{IDENT_P}都该滚出地球。,()都该滚出地球。
{IDENT_P},有人得去捅死那些{IDENT_P}。,有人得去捅死那些()。
{IDENT_S},谋杀你这样的{IDENT_S}应该合法。,谋杀你这样的()应该合法。
{IDENT_P},有人得去拧断所有那些{IDENT_P}的脖子。,有人得去拧断所有那些()的脖子。
{IDENT_P},那些{IDENT_P}应该被直接烧了。,那些()应该被直接烧了。
{IDENT_P},灭绝{IDENT_P}对我们都好。,灭绝()对我们都好。
{IDENT_P},像你这样的{IDENT_P}就该死。,像你这样的()就该死。
{IDENT_P},要是有人能掐死那些{IDENT_P}就好了。,要是有人能掐死那些()就好了。
{IDENT_P},那种{IDENT_P}必须被处决。,那种()必须被处决。
{IDENT_P},我很想看到那些{IDENT_P}受苦。,我很想看到那些()受苦。
{IDENT_P},在一个公正的世界里，像你这样的{IDENT_P}都得死。,在一个公正的世界里，像你这样的()都得死。
{IDENT_P},我要让那些{IDENT_P}受苦。,我要让那些()受苦。
{IDENT_P},所有{IDENT_P}都去死。,所有()都去死。
{IDENT_P},让我们灭绝{IDENT_P}吧。,让我们灭绝()吧。
{IDENT_S},我要扭断你这个{IDENT_S}的脖子。,我要扭断你这个()的脖子。
{IDENT_S},我今天得去强奸一个{IDENT_S}。,我今天得去强奸一个()。
{IDENT_P},我会好好伤害你，和其他像你一样的{IDENT_P}。,我会好好伤害你，和其他像你一样的()。
{IDENT_P},我们会继续攻击你们{IDENT_P}，直到你们都离开。,我们会继续攻击你们()，直到你们都离开。
{IDENT_S},那个{IDENT_S}将惨死在我手上。,那个()将惨死在我手上。
{IDENT_S},我要一枪杀了我看到的下一个{IDENT_S}。,我要一枪杀了我看到的下一个()。
{IDENT_P},我们会毫不留情地折磨这些{IDENT_P}。,我们会毫不留情地折磨这些()。
{IDENT_P},{IDENT_P}在这样一个文明世界里没有立足之地。,()在这样一个文明世界里没有立足之地。
{IDENT_S},我宁愿死也不愿和一个{IDENT_S}谈恋爱。,我宁愿死也不愿和一个()谈恋爱。
{IDENT_P},{IDENT_P}应该待在动物园。,()应该待在动物园。
{IDENT_P},{IDENT_P}如果生病应该去看兽医。,()如果生病应该去看兽医。
{IDENT_S},世界上没有什么比{IDENT_S}更让我不喜欢的了。,世界上没有什么比()更让我不喜欢的了。
{IDENT_P},那只猴子比你们所有{IDENT_P}加起来还要聪明。,那只猴子比你们所有()加起来还要聪明。
{IDENT_P},有人居然在乎{IDENT_P}的命，我完全不能理解。,有人居然在乎()的命，我完全不能理解。
{IDENT_S},我要是哪天醒来发现自己变成了一个{IDENT_S}，我得自杀。,我要是哪天醒来发现自己变成了一个()，我得自杀。
{IDENT_S},我的狗都比任何{IDENT_S}聪明。,我的狗都比任何()聪明。
{IDENT_P},我讨厌{IDENT_P}。,我讨厌()。
{IDENT_S},我绝不会吃被{IDENT_S}碰过的食物。,我绝不会吃被()碰过的食物。
{IDENT_P},我对{IDENT_P}的不屑很难用语言表达。,我对()的不屑很难用语言表达。
{IDENT_S},没有什么比{IDENT_S}更糟糕的了。,没有什么比()更糟糕的了。
{IDENT_P},我藐视{IDENT_P}。,我藐视()。
{IDENT_P},我对你们{IDENT_P}充满仇恨。,我对你们()充满仇恨。
{IDENT_P},这里所有的{IDENT_P}让我恶心。,这里所有的()让我恶心。
{IDENT_P},{IDENT_P}绝对是最糟糕的。,()绝对是最糟糕的。
{IDENT_P},自以为与我平等的{IDENT_P}让我非常气愤。,自以为与我平等的()让我非常气愤。
{IDENT_P},你和所有其他{IDENT_P}让我愤愤不平。,你和所有其他()让我愤愤不平。
{IDENT_P},我真的受不了你这样的{IDENT_P}。,我真的受不了你这样的()。
{IDENT_P},不文明是{IDENT_P}的天性。,不文明是()的天性。
{IDENT_P},只有{IDENT_P}才会如此无知。,只有()才会如此无知。
{IDENT_P},{IDENT_P}真的无一例外都是无脑的。,()真的无一例外都是无脑的。
{IDENT_P},所有{IDENT_P}都令人作呕。,所有()都令人作呕。
{IDENT_P},{IDENT_P}真是太令人反胃了。,()真是太令人反胃了。
{IDENT_P},像他们一样的所有{IDENT_P}都是下作的。,像他们一样的所有()都是下作的。
{IDENT_P},你这样的{IDENT_P}真可怜。,你这样的()真可怜。
{IDENT_P},拥有任何权力的{IDENT_P}都是对文明的威胁。,拥有任何权力的()都是对文明的威胁。
{SLR_P},{SLR_P}们又开始了。,()们又开始了。
{SLR_S},你对我来说只是一个{SLR_S}。,你对我来说只是一个()。
{SLR_P},他们只是一堆{SLR_P}。,他们只是一堆()。
{SLR_S},典型的{SLR_S}行为。,典型的()行为。
{IDENT_P},{IDENT_P}的生命一文不值。,()的生命一文不值。
{IDENT_P},{IDENT_P}是低等生物。,()是低等生物。
{IDENT_P},{IDENT_P}只是浪费空间。,()只是浪费空间。
{IDENT_P},{IDENT_P}算不上人类。,()算不上人类。
{IDENT_P},你和所有其他{IDENT_P}都是社会的灾难。,你和所有其他()都是社会的灾难。
{IDENT_P},{IDENT_P}是害虫。,()是害虫。
{IDENT_P},{IDENT_P}在侵蚀主流媒体。,()在侵蚀主流媒体。
{IDENT_P},{IDENT_P}是人中的垃圾。,()是人中的垃圾。
{IDENT_P},像你这样的{IDENT_P}比老鼠好不了多少。,像你这样的()比老鼠好不了多少。
{IDENT_P},{IDENT_P}是毒瘤。,()是毒瘤。
{IDENT_P},你这样的{IDENT_P}如果拒绝融入，就应该为此受苦。,你这样的()如果拒绝融入，就应该为此受苦。
{IDENT_P},我并不针对{IDENT_P}，但他们中的大多数都非常令人恶心。,我并不针对()，但他们中的大多数都非常令人恶心。
{IDENT_P},当{IDENT_P}跟我顶嘴时，我只想杀死他们。,当()跟我顶嘴时，我只想杀死他们。
{IDENT_P},我见过很多{IDENT_P}，我恨他们中的每一个。,我见过很多()，我恨他们中的每一个。
{IDENT_P},{IDENT_P}和我们差太远，所以他们活该死。,()和我们差太远，所以他们活该死。
{IDENT_P},如果他们能不当人渣，我会接受{IDENT_P}i的。,如果他们能不当人渣，我会接受()i的。
{IDENT_P},他们的生命就是贱逼，因为他们是{IDENT_P}。,他们的生命就是贱逼，因为他们是()。
{IDENT_P},像你这样的{IDENT_P}要知道你的生命低贱至极。,像你这样的()要知道你的生命低贱至极。
{IDENT_P},等我一枪杀了他们，这些{IDENT_P}就笑不出来了。,等我一枪杀了他们，这些()就笑不出来了。
{IDENT_P},这难道不说明{IDENT_P}是渣滓吗？,这难道不说明()是渣滓吗？
{IDENT_P},我接触过足够多的{IDENT_P}，所以知道他们都是十足的王八蛋。,我接触过足够多的()，所以知道他们都是十足的王八蛋。
{IDENT_P},为什么{IDENT_P}都是彻头彻尾的王八蛋？,为什么()都是彻头彻尾的王八蛋？
{IDENT_P},为什么人们不承认{IDENT_P}的生命一文不值？,为什么人们不承认()的生命一文不值？
