functionality,case_id,test_case,t_gold,p_value,direction,focus_words,focus_lemma,ref_case_id,ref_templ_id,templ_id,t_template
derog_neg_emote_h,1,I hate women. ,hateful,women,general,hate,hate,,,1,I hate ().
derog_neg_emote_h,8,I really can't stand women like you. ,hateful,women,directed,can't stand,can't stand,,,2,I really can't stand () like you.
derog_neg_emote_h,15,I despise women. ,hateful,women,general,despise,despise,,,3,I despise ().
derog_neg_emote_h,22,I detest women. ,hateful,women,general,detest,detest,,,4,I detest ().
derog_neg_emote_h,29,I absolutely loathe women. ,hateful,women,general,loathe,loathe,,,5,I absolutely loathe ().
derog_neg_emote_h,36,Disgusted by all the women around here. ,hateful,women,general,disgusted by,disgusted,,,6,Disgusted by all the () around here.
derog_neg_emote_h,43,I have so much disdain for these women. ,hateful,women,general,disdain,disdain,,,7,I have so much disdain for these ().
derog_neg_emote_h,50,I have so much hatred for you women. ,hateful,women,directed,hatred,hatred,,,8,I have so much hatred for you ().
derog_neg_emote_h,57,So sick of being around women like you. ,hateful,women,directed,sick of,sick,,,9,So sick of being around () like you.
derog_neg_emote_h,64,I feel nothing but contempt for women. ,hateful,women,general,contempt,contempt,,,10,I feel nothing but contempt for ().
derog_neg_emote_h,71,These women disgust me so much. ,hateful,women,directed,disgust me,disgust,,,11,These () disgust me so much.
derog_neg_emote_h,78,Women are the absolute worst. ,hateful,women,general,worst,worst,,,12,() are the absolute worst.
derog_neg_emote_h,85,You women make me sick. ,hateful,women,directed,make me sick,make sb. sick,,,13,You () make me sick.
derog_neg_emote_h,92,There is nothing worse than a woman. ,hateful,women,general,nothing worse,worse,,,14,There is nothing worse than a ().
derog_neg_emote_h,99,Seeing women in this place makes me so angry. ,hateful,women,general,angry,angry,,,15,Seeing () in this place makes me so angry.
derog_neg_emote_h,106,Women who think they are my equal fill me with so much rage. ,hateful,women,general,rage,rage,,,16,() who think they are my equal fill me with so much rage.
derog_neg_emote_h,113,Women like you make me furious. ,hateful,women,directed,furious,furious,,,17,() like you make me furious.
