unique_p_label,unique_t_case_local,t_template
{IDENTITY_P},Sial {IDENTITY_P}.,Sial ().
{IDENTITY_P},Apa hal dengan kau {IDENTITY_P} babi ni?,Apa hal dengan kau () babi ni?
{IDENTITY_P},Korang {IDENTITY_P} boleh pergi mampos semua.,Korang () boleh pergi mampos semua.
{IDENTITY_S},Memang sifat {IDENTITY_S} jadi orang yang menjengkelkan.,Memang sifat () jadi orang yang menjengkelkan.
{IDENTITY_P},Mereka semua {IDENTITY_P} bodoh sombong.,Mereka semua () bodoh sombong.
{IDENTITY_P},"Berterusan, {IDENTITY_P} memang manusia yang kurang ajar.","Berterusan, () memang manusia yang kurang ajar."
{IDENTITY_S},"	Kalau idea datang dari {IDENTITY_S}, confirm benda Bodoh.","	Kalau idea datang dari (), confirm benda Bodoh."
{IDENTITY_P},Semua {IDENTITY_P} dalam negara ini sudah membuat saya sangat marah.,Semua () dalam negara ini sudah membuat saya sangat marah.
{IDENTITY_S},Biasa lah {IDENTITY_S} perangai buruk.,Biasa lah () perangai buruk.
{IDENTITY_P},{IDENTITY_P} patut berambus dari negara kita.,() patut berambus dari negara kita.
{IDENTITY_P},Patut ada yang tikam je {IDENTITY_P} tu.,Patut ada yang tikam je () tu.
{IDENTITY_S},Membunuh {IDENTITY_S} macam kau tak patut dihukum.,Membunuh () macam kau tak patut dihukum.
{IDENTITY_P},Patut ada orang yang patahkan leher semua {IDENTITY_P} tu.,Patut ada orang yang patahkan leher semua () tu.
{IDENTITY_P},Those {IDENTITY_P} should be hanged at the crossroads.,Those () should be hanged at the crossroads.
{IDENTITY_P},Kita akan lebih baik jika orang-orang {IDENTITY_P} itu dimusnahkan.,Kita akan lebih baik jika orang-orang () itu dimusnahkan.
{IDENTITY_P},Aku sangat membenci {IDENTITY_P}.,Aku sangat membenci ().
{IDENTITY_P},{IDENTITY_P} seperti awak layak untuk mati,() seperti awak layak untuk mati
{IDENTITY_P},Kalau saja ada orang yang nak cekik {IDENTITY_P} tu.,Kalau saja ada orang yang nak cekik () tu.
